DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
reconnecting 2, expecting no leader change
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 2}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 9, vf: 2}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
DEBUG tick {me: 0, st: LEADER, hb: 1, ct: 9, vf: 0}
  ... Passed --   6.5  3  288   29082    0
DEBUG tick {me: 0, st: FOLLOWER, hb: 1, ct: 0, vf: -1}
DEBUG tick {me: 1, st: FOLLOWER, hb: 1, ct: 0, vf: -1}
DEBUG tick {me: 2, st: FOLLOWER, hb: 1, ct: 0, vf: -1}
DEBUG tick {me: 3, st: FOLLOWER, hb: 1, ct: 0, vf: -1}
DEBUG tick {me: 4, st: FOLLOWER, hb: 1, ct: 0, vf: -1}
